model,mmmu_pro
GPT-5.4,0.812
Gemini 3 Flash,0.812
Gemini 3 Pro,0.81
Gemini 3.1 Pro,0.805
Muse Spark,0.804
GPT-5.2,0.795
Qwen3.6 Plus,0.788
Kimi K2.5,0.785
GPT-5,0.784
Claude Opus 4.6,0.773
Gemma 4 31B,0.769
Qwen3.5-122B-A10B,0.769
Gemini 3.1 Flash-Lite,0.768
GPT-5.4 mini,0.766
o3,0.764
Claude Sonnet 4.6,0.756
Qwen3.5-35B-A3B,0.751
Qwen3.5-27B,0.75
Gemma 4 26B-A4B,0.738
Qwen3 VL 235B A22B Thinking,0.693
Qwen3 VL 235B A22B Instruct,0.681
Qwen3 VL 32B Thinking,0.681
GPT-5.4 nano,0.661
Qwen3 VL 32B Instruct,0.653
Qwen3 VL 30B A3B Thinking,0.63
Qwen3 VL 8B Thinking,0.604
Qwen3 VL 30B A3B Instruct,0.604
Mistral Small 4,0.6
GPT-4o,0.599
Llama 4 Maverick,0.596
Qwen3 VL 4B Thinking,0.57
Qwen3 VL 8B Instruct,0.559
Qwen3 VL 4B Instruct,0.532
Gemma 4 E4B,0.526
Qwen2.5 VL 72B Instruct,0.511
Qwen2.5 VL 32B Instruct,0.495
Qwen2-VL-72B-Instruct,0.462
Llama 3.2 90B Instruct,0.452
Gemma 4 E2B,0.442
Phi-4-multimodal-instruct,0.385
Qwen2.5 VL 7B Instruct,0.383
Qwen2.5-Omni-7B,0.366
Llama 3.2 11B Instruct,0.33
