m,mean_violation_rate,std_violation_rate,delta_0
2,1.0,0.0,11.472783805730367
3,1.0,0.0,7.648522537153578
4,1.0,0.0,5.736391902865184
5,1.0,0.0,4.589113522292147
6,1.0,0.0,3.824261268576789
7,1.0,0.0,3.2779382302086764
8,0.9999816142673286,7.277282642051964e-05,2.868195951432592
9,0.9995495495495496,0.0006076338617268139,2.549507512384526
10,0.9973310044738618,0.001499777631184161,2.2945567611460733
11,0.9921891279034138,0.0017436557088848206,2.085960691950976
12,0.9844640558926271,2.220446049250313e-16,1.9121306342883946
