evaluation,type,n,theory_r2,empirical_r2
industry_mathematical,arena,33,0.9918594570289332,0.49779844244019533
hard_prompts_english,arena,34,0.9905971379439977,0.4219673486839516
coding,arena,34,0.9901365139957283,0.1704599089745823
hard_prompts,arena,34,0.9894353040721079,0.3373225552307001
chinese,arena,31,0.9868306434395165,-1.0
expert,arena,27,0.9850953197302579,-0.016824956081516795
french,arena,23,0.9840071303252027,0.3106361453207609
english,arena,34,0.9818536382519952,-0.4551983481592212
german,arena,24,0.981264700325177,-1.0
industry_life_and_physical_and_social_science,arena,34,0.9792537272454426,-0.2252058297777475
exclude_ties,arena,34,0.9755919167312879,-0.2973428852416591
industry_business_and_management_and_financial_operations,arena,33,0.9719907370181505,-0.8291324472997779
industry_legal_and_government,arena,32,0.9712367347185561,-1.0
industry_entertainment_and_sports_and_media,arena,34,0.9685125919300723,-0.7352665248884651
creative_writing,arena,34,0.9667524485374774,-0.6298259389207639
MUSR,internal,148,0.9364387738871773,0.018617835272264904
GSM8K,internal,148,0.825878942779068,0.11813691555601946
IFEval,internal,148,0.7647200355100988,0.15934623039411377
TruthfulQA,internal,148,0.31354886116531566,0.6204152813571526
HellaSwag,internal,148,0.28637749661188505,0.7644505722576739
Winogrande,internal,148,0.286325494781703,0.6318731102217241
ARC,internal,148,0.28472820050984815,0.8415579378470599
MMLU-PRO,internal,148,0.2766132713065606,0.7688060317826964
GPQA,internal,148,0.2678993552536935,0.4283617701984984
MATH Lvl 5,internal,148,0.2559916643364366,0.45028642453595313
BBH,internal,148,0.25371610812104717,0.5592059165632424
MMLU,internal,148,0.24776179523716707,0.7555756911428158
