benchmark,tau_with_full,mean_rank_change,marginal_coverage,blind_loading
IFEval,0.9119323405037691,4.716216216216216,0.023568864178964755,0.23527996441342963
BBH,0.9264570693142121,4.027027027027027,0.01777552508929936,0.7462838918535815
MATH Lvl 5,0.9238830667402096,4.45945945945946,0.021956432316053598,0.7440083356379651
GPQA,0.9297665011950726,3.824324324324324,0.02980314703053566,0.7321006447195173
MUSR,0.9089906232763376,4.918918918918919,0.047578424285191656,0.06356122601917903
MMLU-PRO,0.930685787828645,3.7837837837837838,0.008066991399205192,0.7233867286657782
ARC,0.9325243610957896,3.7837837837837838,0.006870907745865962,0.7152717994616782
HellaSwag,0.9176319176319176,4.581081081081081,0.009394625583744598,0.7136225033594772
MMLU,0.9384077955506528,3.7027027027027026,0.00793077172600365,0.7522382047380572
TruthfulQA,0.906416620702335,5.094594594594595,0.012759302673058803,0.6864511388033299
Winogrande,0.9198382055524913,4.4324324324324325,0.01650936211452414,0.7136745051896646
GSM8K,0.9207574921860636,4.243243243243243,0.036934288796408477,0.17412105713834428
