eval,type,blind,rank_change,n
IFEval,internal,0.23527996441342905,0.5217391304347826,23
BBH,internal,0.7462838918535809,0.43478260869565216,23
MATH Lvl 5,internal,0.744008335637964,0.34782608695652173,23
GPQA,internal,0.7321006447195161,0.08695652173913043,23
MUSR,internal,0.06356122601917862,0.782608695652174,23
MMLU-PRO,internal,0.7233867286657779,0.43478260869565216,23
ARC,internal,0.715271799461679,0.2608695652173913,23
HellaSwag,internal,0.7136225033594774,0.34782608695652173,23
MMLU,internal,0.7522382047380567,0.34782608695652173,23
TruthfulQA,internal,0.6864511388033294,0.5217391304347826,23
Winogrande,internal,0.7136745051896646,0.782608695652174,23
GSM8K,internal,0.17412105713834383,1.0434782608695652,23
chinese,arena,0.051283843056305956,0.9523809523809523,21
coding,arena,0.05598018526917847,0.6086956521739131,23
creative_writing,arena,0.15831879701626184,0.782608695652174,23
english,arena,0.06745508718003002,0.6086956521739131,23
exclude_ties,arena,0.10576067738669148,0.8695652173913043,23
expert,arena,0.055044484029701524,0.3157894736842105,19
french,arena,0.076080694777657,0.23529411764705882,17
german,arena,0.05781023817211961,0.4444444444444444,18
hard_prompts,arena,0.04879097623205819,0.6086956521739131,23
hard_prompts_english,arena,0.04090955803540197,0.5217391304347826,23
industry_business_and_management_and_financial_operations,arena,0.09381369761369918,0.8695652173913043,23
industry_entertainment_and_sports_and_media,arena,0.14596234350000203,0.782608695652174,23
industry_legal_and_government,arena,0.12312619539003011,0.8181818181818182,22
industry_life_and_physical_and_social_science,arena,0.07699959545565094,0.8695652173913043,23
industry_mathematical,arena,0.025047160105929556,0.5217391304347826,23
industry_medicine_and_healthcare,arena,0.13317673232649885,0.8695652173913043,23
industry_software_and_it_services,arena,0.0719317318050936,0.6086956521739131,23
industry_writing_and_literature_and_language,arena,0.115354769935621,0.8695652173913043,23
instruction_following,arena,0.07184597363438461,0.6956521739130435,23
japanese,arena,0.08783391759963843,0.4,15
korean,arena,0.11444200003889538,0.46153846153846156,13
longer_query,arena,0.08377626683035988,0.7272727272727273,22
math,arena,0.019027975270877406,0.5217391304347826,23
multi_turn,arena,0.12165631275801625,0.8695652173913043,23
overall,arena,0.09030164655272166,0.782608695652174,23
russian,arena,0.14547283642666298,0.5263157894736842,19
spanish,arena,0.10272449713264242,0.14285714285714285,14
